,v_fabricante,v_producto,v_cadena_busqueda,aux.matches.ip_str,aux.matches.isp,aux.matches.location.city,aux.matches.location.longitude,aux.matches.location.latitude,aux.matches.location.country_name,aux.matches.location.country_code3,aux.matches.os,aux.matches.org,aux.matches.asn
113,ACKP,Generic,AKCP Embedded Web Server,211.22.178.136,HiNet,NA,121,23.5,Taiwan,TWN,NA,HiNet,AS3462
114,ACKP,Generic,AKCP Embedded Web Server,60.250.156.207,HiNet,Taipei,121.5318,25.0478,Taiwan,TWN,NA,HiNet,AS3462
115,ACKP,Generic,AKCP Embedded Web Server,206.75.213.12,Telus Communications,NA,-79.3716,43.6319,Canada,CAN,NA,WorldGate,AS6171
116,ACKP,Generic,AKCP Embedded Web Server,82.188.224.14,Telecom Italia Business,NA,12.1097,43.1479,Italy,ITA,NA,Telecom Italia Business,AS3269
117,ACKP,Generic,AKCP Embedded Web Server,185.136.72.11,Briskona Ltd,NA,-0.122399999999999,51.4964,United Kingdom,GBR,NA,Briskona Ltd,AS42010
118,ACKP,Generic,AKCP Embedded Web Server,38.110.13.136,Cogent Communications,Clemson,-82.8117,34.6839,United States,USA,NA,Cogent Communications,AS174
119,ACKP,Generic,AKCP Embedded Web Server,93.119.253.50,KEVAG Telekom GmbH,Steinebach,7.8167,50.6333,Germany,DEU,NA,KEVAG Telekom GmbH,AS12360
120,ACKP,Generic,AKCP Embedded Web Server,41.211.21.25,Teledata, Ghana,Takoradi,-1.75,4.88329999999999,Ghana,GHA,NA,Teledata, Ghana,AS35091
121,ACKP,Generic,AKCP Embedded Web Server,161.111.20.61,Consejo Superior de Investigaciones,Coslada,-3.56129999999999,40.4238,Spain,ESP,NA,Consejo Superior de Investigaciones,AS766
122,ACKP,Generic,AKCP Embedded Web Server,129.241.155.59,Norwegian University of Science and Technology,Trondheim,10.4167,63.4167,Norway,NOR,NA,Norwegian University of Science and Technology,AS224
123,ACKP,Generic,AKCP Embedded Web Server,38.101.255.136,Cogent Communications,Atlanta,-84.3491,33.7884,United States,USA,NA,Cogent Communications,AS174
124,ACKP,Generic,AKCP Embedded Web Server,58.130.93.16,Beijing Education Information Network,Beijing,116.3883,39.9289,China,CHN,NA,China Telecom Beijing,AS4847
125,ACKP,Generic,AKCP Embedded Web Server,203.57.144.248,Exetel,NA,143.2104,-33.494,Australia,AUS,NA,Exetel,AS10143
126,ACKP,Generic,AKCP Embedded Web Server,220.149.226.12,Korean Education Network,Seongnam,127.1378,37.4386,Korea, Republic of,KOR,NA,Korea Telecom,AS4766
127,ACKP,Generic,AKCP Embedded Web Server,212.120.0.42,Company for computing services NETCETERA DOOEL exp,Skopje,21.4314,41.9965,Macedonia,MKD,NA,Company for computing services NETCETERA DOOEL exp,AS8982
128,ACKP,Generic,AKCP Embedded Web Server,134.214.49.72,Reseau Optique du Campus de la Doua,Villeurbanne,4.88329999999999,45.7667,France,FRA,NA,Reseau Optique du Campus de la Doua,AS2060
129,ACKP,Generic,AKCP Embedded Web Server,216.239.165.107,Summit Broadband,Kissimmee,-81.589,28.312,United States,USA,NA,Summit Broadband,AS23314
130,ACKP,Generic,AKCP Embedded Web Server,128.39.64.39,UNINETT AS,Kristiansand,7.9974,58.1496,Norway,NOR,NA,UNINETT AS,AS224
131,ACKP,Generic,AKCP Embedded Web Server,129.125.48.118,Rijksuniversiteit Groningen,Groningen,6.55000000000001,53.2167,Netherlands,NLD,NA,Rijksuniversiteit Groningen,AS1103
132,ACKP,Generic,AKCP Embedded Web Server,209.193.73.95,Visionary Communications,Gillette,-105.6665,44.5562,United States,USA,NA,Visionary Communications,AS10835
133,ACKP,Generic,AKCP Embedded Web Server,88.187.140.16,Free SAS,Jouy-le-châtel,3.1918,48.6783,France,FRA,NA,Free SAS,AS12322
134,ACKP,Generic,AKCP Embedded Web Server,152.2.227.207,University of North Carolina at Chapel Hill,Chapel Hill,-79.1077,36.0525,United States,USA,NA,University of North Carolina at Chapel Hill,AS36850
135,ACKP,Generic,AKCP Embedded Web Server,64.57.165.89,Brandenburg Telephone Company,Elizabethtown,-85.8565,37.7153,United States,USA,NA,Brandenburg Telephone Company,AS26727
136,ACKP,Generic,AKCP Embedded Web Server,216.8.159.209,Managed Network Systems,Windsor,-82.9459,42.3037,Canada,CAN,NA,Managed Network Systems,AS7057
137,ACKP,Generic,AKCP Embedded Web Server,129.177.40.166,UNINETT,Bergen,5.32419999999999,60.393,Norway,NOR,NA,UNINETT,AS224
138,ACKP,Generic,AKCP Embedded Web Server,67.43.161.187,XFERNET,Los Angeles,-118.3098,34.0619,United States,USA,NA,XFERNET,AS27630
139,ACKP,Generic,AKCP Embedded Web Server,204.77.164.124,Great Plains Communications,Columbus,-97.347,41.512,United States,USA,Windows 7 or 8,Great Plains Communications,AS13807
140,ACKP,Generic,AKCP Embedded Web Server,62.232.194.197,Daisy Communications Ltd,Weston-super-mare,-2.96780000000001,51.3458,United Kingdom,GBR,NA,Daisy Communications Ltd,AS5413
141,ACKP,Generic,AKCP Embedded Web Server,206.75.213.12,Telus Communications,NA,-79.3716,43.6319,Canada,CAN,NA,WorldGate,AS6171
142,ACKP,Generic,AKCP Embedded Web Server,59.125.27.10,HiNet,Beinan,121.1228,22.781,Taiwan,TWN,NA,HiNet,AS3462
143,ACKP,Generic,AKCP Embedded Web Server,59.125.27.192,HiNet,Beinan,121.1228,22.781,Taiwan,TWN,NA,HiNet,AS3462
144,ACKP,Generic,AKCP Embedded Web Server,128.39.64.38,UNINETT AS,Kristiansand,7.9974,58.1496,Norway,NOR,NA,UNINETT AS,AS224
145,ACKP,Generic,AKCP Embedded Web Server,59.125.27.190,HiNet,Beinan,121.1228,22.781,Taiwan,TWN,NA,HiNet,AS3462
146,ACKP,Generic,AKCP Embedded Web Server,193.192.241.7,Sunrise Communications AG,NA,8.1551,47.1449,Switzerland,CHE,NA,Sunrise Communications AG,AS6730
147,ACKP,Generic,AKCP Embedded Web Server,73.209.97.167,Comcast Cable,Oak Lawn,-87.7596,41.7091,United States,USA,NA,Comcast Cable,AS7922
148,ACKP,Generic,AKCP Embedded Web Server,173.226.237.137,tw telecom holdings,West Orange,-74.264,40.7919,United States,USA,NA,tw telecom holdings,AS3549
149,ACKP,Generic,AKCP Embedded Web Server,81.194.43.56,Renater,Paris,2.32919999999999,48.8628,France,FRA,Windows 7 or 8,Universite Paris,AS2200
150,ACKP,Generic,AKCP Embedded Web Server,220.128.233.13,HiNet,Hsinchu,120.9686,24.8036,Taiwan,TWN,NA,HiNet,AS3462
151,ACKP,Generic,AKCP Embedded Web Server,128.39.64.37,UNINETT AS,Kristiansand,7.9974,58.1496,Norway,NOR,Windows 7 or 8,UNINETT AS,AS224
152,ACKP,Generic,AKCP Embedded Web Server,198.40.44.34,Tomales Bay LAN, LLC,Point Reyes Station,-122.862,38.0738,United States,USA,NA,Tomales Bay LAN, LLC,AS53641
